P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Responden
0.4565,0.8442,0.5237,0.4473,0.7135,0.6006,0.7736,0.7015,0.641,0.7766,-1.0,1.1547,R118
0.1821,0.2854,0.3006,0.4999,0.6698,0.6769,0.8138,0.6917,0.7851,0.7766,1.0,1.1547,R119
-0.3666,-0.9021,-0.0898,-0.0789,-0.5966,-0.3142,0.439,0.468,-1.5197,0.7766,-1.0,1.1547,R120
-0.6409,0.1457,1.6389,-0.1842,-0.5966,-2.7156,-0.6719,0.4485,-0.2953,-1.2877,1.0,-0.866,R121
0.6211,0.4949,0.0775,0.342,0.2768,0.41,0.7736,0.6431,0.3529,0.7766,-1.0,1.1547,R122
0.1821,-0.2036,-0.034,0.1842,-0.1599,0.4482,0.7067,0.5945,-0.0072,0.7766,-1.0,1.1547,R123
0.5113,0.4251,0.0775,0.4473,0.3641,0.3338,0.6398,0.7015,0.2089,0.7766,-1.0,-0.866,R124
0.5113,0.4251,0.0775,-0.0789,0.4078,0.2957,0.7736,0.6723,0.2089,-1.2877,1.0,-0.866,R125
0.4565,0.1457,-0.2013,-0.1842,0.2768,0.2195,0.7067,0.6723,0.1368,0.7766,-1.0,1.1547,R126
0.4565,0.1457,-0.2013,0.0263,0.2768,0.3338,0.787,0.682,0.2089,0.7766,-1.0,1.1547,R127
-2.0675,-1.6006,-1.7627,-1.2366,-0.8149,-0.7716,0.439,0.5945,-1.2316,0.7766,1.0,1.1547,R128
-0.9153,-0.6925,-0.4801,-1.1313,-0.3346,-0.0855,0.6398,0.6236,-1.2316,0.7766,-1.0,1.1547,R129
-1.4639,-2.2991,-1.0377,-1.1313,-0.6839,-0.4667,0.5595,0.4972,-1.9519,-1.2877,1.0,1.1547,R130
0.5113,0.1457,0.2448,0.0789,0.0584,0.2576,0.7201,0.5945,-0.2953,0.7766,-1.0,1.1547,R131
-0.586,-0.5528,-0.034,-0.342,0.4951,0.2957,0.6398,0.6431,0.0648,0.7766,1.0,-0.866,R132
0.1821,-0.2036,-0.4801,-0.1842,0.2768,0.1051,0.7067,0.5945,-0.5114,0.7766,-1.0,1.1547,R133
0.0175,-0.5528,-0.7032,-0.2368,0.0584,0.2957,0.6398,0.3999,-1.2316,0.7766,-1.0,1.1547,R134
0.1821,-0.2036,-0.4801,0.0789,0.0584,-0.0093,0.5729,0.575,-0.5114,-1.2877,-1.0,1.1547,R135
-0.3666,-0.3433,-0.0898,-0.0789,0.2768,0.4863,0.7067,0.6236,-0.2953,0.7766,1.0,1.1547,R136
0.1821,0.3552,-0.0898,0.4473,0.3641,0.4863,0.7067,0.5945,0.2089,0.7766,-1.0,1.1547,R137
-0.4214,-0.5528,-0.2013,-0.1842,0.1021,-0.1617,0.6264,0.5653,-0.2953,0.7766,-1.0,-0.866,R138
-0.9153,-0.9021,-1.3166,-0.342,0.2331,0.1051,0.613,0.5361,-0.4394,0.7766,1.0,1.1547,R139
0.0175,0.1457,-0.2013,0.0789,0.3204,0.4863,0.8138,0.7015,0.2089,0.7766,-1.0,1.1547,R140
-0.0922,-0.5528,-0.3686,0.0789,0.4951,0.3719,0.8138,0.6723,0.2089,0.7766,1.0,1.1547,R141
-2.5613,-1.9498,-1.0377,-0.4473,-0.1599,0.1051,0.6666,0.6236,-0.1513,0.7766,1.0,1.1547,R142
-2.287,-2.6483,-1.9857,-1.3944,-1.1206,-0.6573,0.4123,0.4485,-1.8799,0.7766,1.0,1.1547,R143
0.4565,0.7045,0.3006,0.6577,0.4514,0.6387,0.8406,0.6626,0.569,0.7766,1.0,1.1547,R144
-1.7383,-1.2513,-0.7589,-0.342,-0.4219,-0.0855,0.6398,0.6334,-0.1513,0.7766,1.0,1.1547,R145
0.0724,-0.5528,-1.0377,-1.1313,-0.2472,0.2576,0.7067,0.6626,0.2089,0.7766,1.0,1.1547,R146
-0.0922,0.1457,0.3564,0.0789,0.0584,0.41,0.7736,0.6334,0.0648,0.7766,1.0,-0.866,R147
0.1821,0.3552,0.3564,0.0789,0.2768,0.2576,0.6398,0.6236,-0.1513,0.7766,1.0,1.1547,R148
0.4565,0.1457,0.0218,-0.0789,0.2768,0.41,-2.4655,-1.4388,-0.1513,-1.2877,-1.0,-0.866,R149
0.5662,0.4949,0.1891,0.4473,0.6261,0.6769,-0.6987,-1.2442,0.7851,0.7766,-1.0,-0.866,R150
-0.3666,0.1457,0.3564,0.5525,0.2768,0.2195,-1.8364,-0.7675,0.0648,0.7766,-1.0,-0.866,R151
0.0724,0.1457,-0.2013,0.2894,0.4514,0.2195,-0.7924,-1.2053,-0.1513,0.7766,1.0,1.1547,R152
-0.3117,-0.2036,0.0775,0.0789,0.4514,0.1051,0.3052,0.4485,0.2089,-1.2877,1.0,-0.866,R153
0.1821,0.006,-0.2013,0.1315,0.2768,0.3719,0.3319,0.5166,0.2809,-1.2877,-1.0,-0.866,R154
0.6211,1.0537,-0.034,-0.0789,-0.0726,0.5244,-0.8191,-1.2053,-0.1513,-1.2877,-1.0,1.1547,R155
0.0724,0.6346,0.0775,0.4473,0.0584,0.3338,0.8138,0.7015,0.4249,0.7766,-1.0,-0.866,R156
0.6211,0.8442,0.3564,0.1842,0.5388,0.6387,0.3319,0.5069,0.7851,0.7766,-1.0,1.1547,R157
-0.0922,0.7045,0.6352,0.9735,0.8445,0.6769,0.6398,0.5458,0.9291,0.7766,-1.0,-0.866,R158
-1.1896,-1.2513,0.0775,0.4473,0.4078,0.2195,-0.6987,-0.2422,-0.1513,-1.2877,-1.0,1.1547,R159
